species,acoustic_index,best_lag,best_lag_r,best_lag_p,station
Vessel,SKEWt,0,-0.07263319411770601,1.544709516387359e-06,14M
Vessel,KURTt,0,-0.131835338194198,2.155848288368674e-18,14M
Vessel,LEQt,0,0.14466646214159515,7.327198067082338e-22,14M
Spotted seatrout,File,1,-0.010462204696257492,0.4895905474692004,37M
Spotted seatrout,Black drum,6,-0.007259170934669492,0.6318396812812543,37M
Spotted seatrout,Bottlenose dolphin burst pulses,0,-0.053175351990842945,0.00044028850303052755,37M
Spotted seatrout,Bottlenose dolphin whistles,6,-0.051905464913526586,0.0006074449106665846,37M
Spotted seatrout,ZCR,0,-0.40945135114087594,4.133957566381751e-176,37M
Spotted seatrout,MEANt,0,0.04013537018021071,0.008002161992853035,37M
Spotted seatrout,VARt,0,0.2829716978100836,3.606865064912114e-81,37M
Spotted seatrout,SKEWt,1,0.23686657149695017,1.0320315063790071e-56,37M
Spotted seatrout,KURTt,2,-0.21862534104266418,2.2918964881359198e-48,37M
Spotted seatrout,LEQt,0,0.4337606272455565,9.28530503713386e-200,37M
Atlantic croaker,File,0,0.018394970218074652,0.22433698664453866,37M
Atlantic croaker,Black drum,6,-0.00611622185345058,0.6864351149652435,37M
Atlantic croaker,Bottlenose dolphin burst pulses,1,-0.04823473358956969,0.001435795420817663,37M
Atlantic croaker,Bottlenose dolphin whistles,3,-0.052170973404431296,0.0005668176574769156,37M
Atlantic croaker,ZCR,5,-0.15146273354954232,8.61512720228424e-24,37M
Atlantic croaker,MEANt,5,0.030952897172454884,0.04097997186077961,37M
Atlantic croaker,VARt,5,0.0992101191443337,5.1964172726903496e-11,37M
Atlantic croaker,SKEWt,5,0.133530839766175,8.426383402104177e-19,37M
Atlantic croaker,KURTt,5,-0.14887048078013976,4.970103494385918e-23,37M
Atlantic croaker,LEQt,5,0.19717796952715316,1.8123504778300878e-39,37M
Oyster toadfish boat whistle,File,0,0.09614010822931224,1.956375606906029e-10,37M
Oyster toadfish boat whistle,Black drum,0,0.02537620675883685,0.0936699110958163,37M
Oyster toadfish boat whistle,Bottlenose dolphin burst pulses,0,-0.040033135410918144,0.008163832768785535,37M
Oyster toadfish boat whistle,Bottlenose dolphin whistles,1,-0.02615356436715893,0.08407429557691781,37M
Oyster toadfish boat whistle,ZCR,4,-0.2698370075553054,1.2361615195884734e-73,37M
Oyster toadfish boat whistle,MEANt,6,-0.014286358322546596,0.3456799380901005,37M
