species,acoustic_index,temporal_pearson_r,temporal_pearson_p,temporal_spearman_r,temporal_spearman_p,circadian_r,circadian_p,best_lag,best_lag_r,best_lag_p,max_correlation
Spotted seatrout,File,-0.08058360484523341,9.660932189013155e-08,-0.07955904901169288,1.4021461302597732e-07,-0.6626311368807173,0.01886463267182289,2.0,-0.08354875171814766,3.227401461274559e-08,0.6626311368807173
Spotted seatrout,File,-0.08058360484523341,9.660932189013155e-08,-0.07955904901169288,1.4021461302597732e-07,-0.6626311368807173,0.01886463267182289,1.0,-0.010462204696257492,0.4895905474692004,0.6626311368807173
Spotted seatrout,File,-0.08058360484523341,9.660932189013155e-08,-0.07955904901169288,1.4021461302597732e-07,-0.6626311368807173,0.01886463267182289,0.0,-0.07514831366153658,6.638332935372355e-07,0.6626311368807173
Spotted seatrout,File,-0.08058360484523341,9.660932189013155e-08,-0.07955904901169288,1.4021461302597732e-07,-0.451810091430199,0.14034187576233176,2.0,-0.08354875171814766,3.227401461274559e-08,0.451810091430199
Spotted seatrout,File,-0.08058360484523341,9.660932189013155e-08,-0.07955904901169288,1.4021461302597732e-07,-0.451810091430199,0.14034187576233176,1.0,-0.010462204696257492,0.4895905474692004,0.451810091430199
Spotted seatrout,File,-0.08058360484523341,9.660932189013155e-08,-0.07955904901169288,1.4021461302597732e-07,-0.451810091430199,0.14034187576233176,0.0,-0.07514831366153658,6.638332935372355e-07,0.451810091430199
Spotted seatrout,File,-0.08058360484523341,9.660932189013155e-08,-0.07955904901169288,1.4021461302597732e-07,-0.6576748995114396,0.02010058504459875,2.0,-0.08354875171814766,3.227401461274559e-08,0.6576748995114396
Spotted seatrout,File,-0.08058360484523341,9.660932189013155e-08,-0.07955904901169288,1.4021461302597732e-07,-0.6576748995114396,0.02010058504459875,1.0,-0.010462204696257492,0.4895905474692004,0.6576748995114396
Spotted seatrout,File,-0.08058360484523341,9.660932189013155e-08,-0.07955904901169288,1.4021461302597732e-07,-0.6576748995114396,0.02010058504459875,0.0,-0.07514831366153658,6.638332935372355e-07,0.6576748995114396
Spotted seatrout,Black drum,-0.01000642275286292,0.5085095680839744,-0.010821959880458688,0.4745789388119024,0.4461531145040011,0.14599910609070932,5.0,0.010209379863018182,0.5001939597265735,0.4461531145040011
Spotted seatrout,Black drum,-0.01000642275286292,0.5085095680839744,-0.010821959880458688,0.4745789388119024,0.4461531145040011,0.14599910609070932,6.0,-0.007259170934669492,0.6318396812812543,0.4461531145040011
Spotted seatrout,Black drum,-0.01000642275286292,0.5085095680839744,-0.010821959880458688,0.4745789388119024,0.4461531145040011,0.14599910609070932,6.0,-0.00640055286658883,0.6726148391086982,0.4461531145040011
Spotted seatrout,Black drum,-0.01000642275286292,0.5085095680839744,-0.010821959880458688,0.4745789388119024,0.34562605590388706,0.27115490898608274,5.0,0.010209379863018182,0.5001939597265735,0.34562605590388706
Spotted seatrout,Black drum,-0.01000642275286292,0.5085095680839744,-0.010821959880458688,0.4745789388119024,0.34562605590388706,0.27115490898608274,6.0,-0.007259170934669492,0.6318396812812543,0.34562605590388706
Spotted seatrout,Black drum,-0.01000642275286292,0.5085095680839744,-0.010821959880458688,0.4745789388119024,0.34562605590388706,0.27115490898608274,6.0,-0.00640055286658883,0.6726148391086982,0.34562605590388706
Spotted seatrout,Black drum,-0.01000642275286292,0.5085095680839744,-0.010821959880458688,0.4745789388119024,0.37261921886810234,0.23291867134007652,5.0,0.010209379863018182,0.5001939597265735,0.37261921886810234
Spotted seatrout,Black drum,-0.01000642275286292,0.5085095680839744,-0.010821959880458688,0.4745789388119024,0.37261921886810234,0.23291867134007652,6.0,-0.007259170934669492,0.6318396812812543,0.37261921886810234
Spotted seatrout,Black drum,-0.01000642275286292,0.5085095680839744,-0.010821959880458688,0.4745789388119024,0.37261921886810234,0.23291867134007652,6.0,-0.00640055286658883,0.6726148391086982,0.37261921886810234
Spotted seatrout,Bottlenose dolphin burst pulses,-0.024277951590853532,0.10864186356552062,-0.03654037581414431,0.015730904484546532,0.17746495513644592,0.5810968371340344,4.0,-0.03834528752490433,0.011298844904008383,0.17746495513644592
Spotted seatrout,Bottlenose dolphin burst pulses,-0.024277951590853532,0.10864186356552062,-0.03654037581414431,0.015730904484546532,0.17746495513644592,0.5810968371340344,0.0,-0.053175351990842945,0.00044028850303052755,0.17746495513644592
Spotted seatrout,Bottlenose dolphin burst pulses,-0.024277951590853532,0.10864186356552062,-0.03654037581414431,0.015730904484546532,0.17746495513644592,0.5810968371340344,0.0,-0.019645966020099458,0.1942792631662672,0.17746495513644592
Spotted seatrout,Bottlenose dolphin burst pulses,-0.024277951590853532,0.10864186356552062,-0.03654037581414431,0.015730904484546532,0.48311025029262056,0.11160472397432376,4.0,-0.03834528752490433,0.011298844904008383,0.48311025029262056
Spotted seatrout,Bottlenose dolphin burst pulses,-0.024277951590853532,0.10864186356552062,-0.03654037581414431,0.015730904484546532,0.48311025029262056,0.11160472397432376,0.0,-0.053175351990842945,0.00044028850303052755,0.48311025029262056
Spotted seatrout,Bottlenose dolphin burst pulses,-0.024277951590853532,0.10864186356552062,-0.03654037581414431,0.015730904484546532,0.48311025029262056,0.11160472397432376,0.0,-0.019645966020099458,0.1942792631662672,0.48311025029262056
Spotted seatrout,Bottlenose dolphin burst pulses,-0.024277951590853532,0.10864186356552062,-0.03654037581414431,0.015730904484546532,-0.1832473133310849,0.5686300484325206,4.0,-0.03834528752490433,0.011298844904008383,0.1832473133310849
