species,acoustic_index,pearson_r,pearson_p,spearman_r,spearman_p,station
Spotted seatrout,File,-0.08058360484523341,9.660932189013155e-08,-0.07955904901169288,1.4021461302597732e-07,14M
Spotted seatrout,Black drum,-0.01000642275286292,0.5085095680839744,-0.010821959880458688,0.4745789388119024,14M
Spotted seatrout,Bottlenose dolphin burst pulses,-0.024277951590853532,0.10864186356552062,-0.03654037581414431,0.015730904484546532,14M
Spotted seatrout,Bottlenose dolphin whistles,-0.018396065426429707,0.22415013483093535,-0.01471218895174722,0.33099317314088395,14M
Spotted seatrout,ZCR,-0.29894001299982603,7.142259894389289e-91,-0.2798531339841186,2.0633126915035474e-79,14M
Spotted seatrout,MEANt,-0.009467403123801146,0.5316143283095076,-0.017508335187540473,0.24731396301360264,14M
Spotted seatrout,VARt,0.1874389056498118,7.914753322740232e-36,0.4118325054590879,1.8368219205535132e-178,14M
Spotted seatrout,SKEWt,-0.2106953295233362,5.085562142435219e-45,-0.2637965794599435,1.8915771573487096e-70,14M
Spotted seatrout,KURTt,-0.20992931334903325,1.065400839725844e-44,-0.3552186907856814,4.513672604119668e-130,14M
Spotted seatrout,LEQt,0.46935081060079487,3.1605889326323445e-238,0.41759977130209197,6.037298240685828e-184,14M
Spotted seatrout,BGNt,0.48516139273202163,9.02757546170722e-257,0.4341675210783111,2.623971896040525e-200,14M
Spotted seatrout,SNRt,-0.45622985350900536,1.4621166082733497e-223,-0.3697719890478875,1.3182389253146583e-141,14M
Spotted seatrout,MED,0.6115246192545346,0.0,0.43512116124336625,2.8119999404118196e-201,14M
Spotted seatrout,Ht,0.4322341078725903,2.3762440424311527e-198,0.4111684127207822,7.736746400354403e-178,14M
Spotted seatrout,ACTtFraction,-0.19061609315166728,5.131659896423314e-37,-0.15842826460614937,6.005737603472782e-26,14M
Spotted seatrout,ACTtCount,-0.19064344949249204,5.0111249374773805e-37,-0.1585135092865446,5.650183545999554e-26,14M
Spotted seatrout,ACTtMean,-0.44826465390754494,5.745542914626389e-215,-0.3748982307123162,8.173554680209564e-146,14M
Spotted seatrout,EVNtFraction,-0.4108192033475362,1.6457953256759513e-177,-0.32975099907204525,2.673417651921188e-111,14M
Spotted seatrout,EVNtMean,-0.12135998172060616,8.398533622738598e-16,-0.1298198956011543,7.060092974783447e-18,14M
Spotted seatrout,EVNtCount,-0.21759189158290995,5.722078084322515e-48,-0.1835313848986307,2.141567059339139e-34,14M
Spotted seatrout,MEANf,0.5131213591728672,4.734073619006185e-292,0.43660422565904794,8.597983333750844e-203,14M
Spotted seatrout,VARf,0.5892669486613178,0.0,0.46227233034728527,3.0973609857777643e-230,14M
Spotted seatrout,SKEWf,0.6733125979707413,0.0,0.351119435813992,6.249363528290673e-127,14M
Spotted seatrout,KURTf,0.6468410949744987,0.0,0.3464065379350336,2.2384071757303544e-123,14M
Spotted seatrout,NBPEAKS,-0.19888810972692866,3.2876789533463082e-40,-0.19712447885904974,1.6213680230084236e-39,14M
Spotted seatrout,LEQf,0.5424857622235216,0.0,0.46281291326745877,7.714883791555228e-231,14M
