species,baseline_f1,temporal_f1,improvement,improvement_pct,best_model,temporal_features_count,temporal_auc,temporal_ap
Spotted seatrout,0.6020408163265306,0.0,-0.6020408163265306,-100.0,LogisticRegression,80,0.7517084282460138,0.0035903873402209838
Atlantic croaker,0.2634146341463415,0.0,-0.2634146341463415,-100.0,LogisticRegression,80,0.3598536808413351,0.007271176684074858
Vessel,0.4382647385984427,0.5009208103130756,0.06265607171463283,14.296398089201755,LogisticRegression,80,0.8570200808615266,0.6219367590511037
Oyster toadfish boat whistle,0.7333333333333333,0.05128205128205128,-0.682051282051282,-93.006993006993,RandomForest,80,0.6785744749816606,0.03003726550984311
